query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,FF_NO_PLANNING,1.0,1.4838404655456543,0.00522473,8743,84,100.0
1,Direct,FF_NO_PLANNING,1.0,3.006721019744873,0.00091664,8743,77,100.0
1,Direct,FF_NO_PLANNING,1.0,3.175834894180298,0.00096464,8743,77,100.0
2,Direct,FF_NO_PLANNING,1.0,1.0418813228607178,0.00522215,8748,77,100.0
2,Direct,FF_NO_PLANNING,1.0,3.284777879714966,0.00091764,8748,77,100.0
2,Direct,FF_NO_PLANNING,1.0,3.2780370712280273,0.00091764,8748,77,100.0
3,Direct,FF_NO_PLANNING,1.0,1.234166145324707,0.00523539,8745,96,100.0
3,Direct,FF_NO_PLANNING,1.0,4.218896865844727,0.00178612,8745,96,100.0
3,Direct,FF_NO_PLANNING,1.0,2.8106043338775635,0.00092276,8745,88,100.0
4,Direct,FF_NO_PLANNING,1.0,1.2009289264678955,0.00523795,8748,97,100.0
4,Direct,FF_NO_PLANNING,1.0,3.4383139610290527,0.00092804,8748,97,100.0
4,Direct,FF_NO_PLANNING,1.0,3.69590163230896,0.00092804,8748,97,100.0
5,Reasoning,FF_NO_PLANNING,1.0,13.93894910812378,0.00211768,9119,223,100.0
5,Reasoning,FF_NO_PLANNING,1.0,15.024602890014648,0.00107584,9157,227,100.0
5,Reasoning,FF_NO_PLANNING,1.0,5.130032777786255,0.00095564,8756,147,100.0
6,Reasoning,FF_NO_PLANNING,0.0,4.375469923019409,0.00202678,8724,215,0.0
6,Reasoning,FF_NO_PLANNING,1.0,6.658297061920166,0.00099308,8743,224,100.0
6,Reasoning,FF_NO_PLANNING,1.0,6.916593313217163,0.00098632,8743,211,100.0
7,Reasoning,FF_NO_PLANNING,0.0,16.196335077285767,0.0011842,9103,285,0.0
7,Reasoning,FF_NO_PLANNING,0.0,18.31475615501404,0.00109848,9141,289,0.0
7,Reasoning,FF_NO_PLANNING,0.0,16.894973039627075,0.00109864,9141,277,0.0
8,Reasoning,FF_NO_PLANNING,1.0,3.386598825454712,0.0019591,8730,77,100.0
8,Reasoning,FF_NO_PLANNING,1.0,2.9110960960388184,0.00091784,8749,77,100.0
8,Reasoning,FF_NO_PLANNING,1.0,678.5621399879456,0.00618006,9103,16468,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,1.612865686416626,0.00099098,8728,53,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,1.9653964042663576,0.00090392,8747,51,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,4.741534948348999,0.00088966,8727,53,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,18.2295880317688,0.00088872,8724,51,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,2.9029839038848877,0.00090332,8744,51,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,3.090829372406006,0.001197075,8725,48,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,1.2873859405517578,0.0009831,8724,39,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,2.1553308963775635,0.00089688,8743,39,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,3.1238770484924316,0.00088478,8723,39,100.0
12,Out-of-Scope,FF_NO_PLANNING,1.0,1.2265832424163818,0.00098226,8727,36,100.0
12,Out-of-Scope,FF_NO_PLANNING,1.0,2.371784925460815,0.00089592,8746,36,100.0
