query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,FF_NO_PLANNING,1.0,3.317063808441162,0.00094236,8712,83,100.0
1,Direct,FF_NO_PLANNING,1.0,2.532386779785156,0.00091676,8712,83,100.0
1,Direct,FF_NO_PLANNING,1.0,2.4041669368743896,0.00091312,8712,76,100.0
2,Direct,FF_NO_PLANNING,1.0,2.7223150730133057,0.000909,8707,70,100.0
2,Direct,FF_NO_PLANNING,1.0,3.0879909992218018,0.000909,8707,70,100.0
2,Direct,FF_NO_PLANNING,1.0,2.596440076828003,0.00091264,8707,77,100.0
3,Direct,FF_NO_PLANNING,1.0,3.6234750747680664,0.00095492,8715,106,100.0
3,Direct,FF_NO_PLANNING,1.0,2.9577813148498535,0.00092516,8715,98,100.0
3,Direct,FF_NO_PLANNING,1.0,3.023411989212036,0.00092516,8715,98,100.0
4,Direct,FF_NO_PLANNING,1.0,7.258112907409668,0.00099336,9064,98,100.0
4,Direct,FF_NO_PLANNING,1.0,2.937058687210083,0.00091324,8710,77,100.0
4,Direct,FF_NO_PLANNING,1.0,7.005852699279785,0.0009843599999999,9064,93,100.0
5,Reasoning,FF_NO_PLANNING,1.0,7.215767860412598,0.00098112,8727,201,100.0
5,Reasoning,FF_NO_PLANNING,1.0,6.483692407608032,0.00098112,8727,201,100.0
5,Reasoning,FF_NO_PLANNING,1.0,5.921145915985107,0.00098112,8727,201,100.0
6,Reasoning,FF_NO_PLANNING,1.0,8.153918981552124,0.00104552,8737,321,100.0
6,Reasoning,FF_NO_PLANNING,1.0,8.797783136367798,0.00104552,8737,321,100.0
6,Reasoning,FF_NO_PLANNING,1.0,11.041241884231567,0.00104552,8737,321,100.0
7,Reasoning,FF_NO_PLANNING,1.0,3.947767972946167,0.00094316,8714,133,100.0
7,Reasoning,FF_NO_PLANNING,1.0,4.209834098815918,0.00094316,8714,133,100.0
7,Reasoning,FF_NO_PLANNING,1.0,2.5325045585632324,0.00626788,8695,133,100.0
8,Reasoning,FF_NO_PLANNING,1.0,4.684535026550293,0.00095416,8717,153,100.0
8,Reasoning,FF_NO_PLANNING,1.0,5.025845766067505,0.00095416,8717,153,100.0
8,Reasoning,FF_NO_PLANNING,1.0,4.939986944198608,0.00095416,8717,153,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,4.549092054367065,0.00088144,8696,37,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,2.2410712242126465,0.0008978,8716,45,100.0
9,Out-of-Scope,FF_NO_PLANNING,1.0,1.550105094909668,0.00089364,8716,37,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,2.183112859725952,0.00089884,8716,47,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,2.1184582710266113,0.0009004,8716,50,100.0
10,Out-of-Scope,FF_NO_PLANNING,1.0,2.0415661334991455,0.00089884,8716,47,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,1.9087510108947752,0.00089728,8716,44,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,1.6397862434387207,0.00089728,8716,44,100.0
11,Out-of-Scope,FF_NO_PLANNING,1.0,2.2439262866973877,0.00089728,8716,44,100.0
12,Out-of-Scope,FF_NO_PLANNING,1.0,2.5262539386749268,0.000909,8720,65,100.0
12,Out-of-Scope,FF_NO_PLANNING,1.0,2.5257372856140137,0.000909,8720,65,100.0
12,Out-of-Scope,FF_NO_PLANNING,1.0,2.433049201965332,0.0009064,8720,60,100.0
13,Predictive,FF_NO_PLANNING,1.0,7.928575038909912,0.00100876,8769,238,100.0
13,Predictive,FF_NO_PLANNING,1.0,8.054615020751953,0.0009864,8769,195,100.0
13,Predictive,FF_NO_PLANNING,1.0,7.273965835571289,0.00098848,8769,199,100.0
14,Predictive,FF_NO_PLANNING,1.0,19.606486082077023,0.00095508,8769,144,100.0
14,Predictive,FF_NO_PLANNING,0.0,5.426822185516357,0.0009738,8769,180,0.0
14,Predictive,FF_NO_PLANNING,1.0,21.49672555923462,0.0009864,8769,195,100.0
15,Predictive,FF_NO_PLANNING,1.0,6.391901016235352,0.00098772,8773,196,100.0
15,Predictive,FF_NO_PLANNING,1.0,6.7200000286102295,0.00097992,8773,181,100.0
15,Predictive,FF_NO_PLANNING,1.0,6.808446168899536,0.00098292,8773,196,100.0
16,Predictive,FF_NO_PLANNING,1.0,14.00391125679016,0.00097036,8770,173,100.0
16,Predictive,FF_NO_PLANNING,1.0,25.214916944503784,0.00114464,9164,447,100.0
16,Predictive,FF_NO_PLANNING,0.0,6.277466058731079,0.00099636,8770,223,0.0
17,Extra-Hard,FF_NO_PLANNING,1.0,17.78119134902954,0.003399653,9136,492,100.0
17,Extra-Hard,FF_NO_PLANNING,1.0,8.529664039611816,0.00103276,8746,293,100.0
17,Extra-Hard,FF_NO_PLANNING,1.0,8.658646583557129,0.00103276,8746,293,100.0
18,Extra-Hard,FF_NO_PLANNING,0.0,9.24626898765564,0.00102008,8732,274,0.0
18,Extra-Hard,FF_NO_PLANNING,0.0,14.085299968719482,0.00116736,9108,428,0.0
18,Extra-Hard,FF_NO_PLANNING,0.0,16.7287859916687,0.00116736,9108,428,0.0
19,Extra-Hard,FF_NO_PLANNING,0.0,8.00601077079773,0.00101884,8731,272,0.0
19,Extra-Hard,FF_NO_PLANNING,0.0,7.738889932632446,0.00101884,8731,272,0.0
19,Extra-Hard,FF_NO_PLANNING,0.0,10.265401124954224,0.00105004,8731,332,0.0
20,Extra-Hard,FF_NO_PLANNING,1.0,11.643408060073853,0.00105344,8761,327,100.0
20,Extra-Hard,FF_NO_PLANNING,1.0,8.840409278869629,0.00105552,8761,331,100.0
20,Extra-Hard,FF_NO_PLANNING,1.0,22.80828309059143,0.00098002,8741,331,100.0
