query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,FF_NO_PRUNING,1.0,3.715718984603882,0.00201168,9017,77,100.0
1,Direct,FF_NO_PRUNING,1.0,4.482062101364136,0.00183444,9036,77,100.0
1,Direct,FF_NO_PRUNING,1.0,4.311918020248413,0.00202574,9017,84,100.0
2,Direct,FF_NO_PRUNING,1.0,2.2382171154022217,0.00103598,9022,77,100.0
2,Direct,FF_NO_PRUNING,1.0,3.3115620613098145,0.00094744,9041,77,100.0
2,Direct,FF_NO_PRUNING,1.0,2.2681849002838135,0.00103598,9022,77,100.0
3,Direct,FF_NO_PRUNING,1.0,5.993886947631836,0.00104082,9019,88,100.0
3,Direct,FF_NO_PRUNING,1.0,3.667135000228882,0.00095672,9038,96,100.0
3,Direct,FF_NO_PRUNING,1.0,3.750910997390747,0.00202818,9019,88,100.0
4,Direct,FF_NO_PRUNING,1.0,16.91837501525879,0.002965354,9434,137,100.0
4,Direct,FF_NO_PRUNING,1.0,3.1592798233032227,0.00095784,9041,97,100.0
4,Direct,FF_NO_PRUNING,1.0,1.587634563446045,0.00104598,9022,97,100.0
5,Reasoning,FF_NO_PRUNING,1.0,7.828333854675293,0.00191168,9049,199,100.0
5,Reasoning,FF_NO_PRUNING,1.0,5.275865077972412,0.00098544,9049,147,100.0
5,Reasoning,FF_NO_PRUNING,1.0,3.4577813148498535,0.00107274,9030,147,100.0
6,Reasoning,FF_NO_PRUNING,1.0,9.115731239318848,0.00102288,9036,224,100.0
6,Reasoning,FF_NO_PRUNING,1.0,13.556934833526611,0.00102288,9036,224,100.0
6,Reasoning,FF_NO_PRUNING,1.0,5.133458852767944,0.00110488,9017,217,100.0
7,Reasoning,FF_NO_PRUNING,1.0,7.834121942520142,0.00101036,9041,198,100.0
7,Reasoning,FF_NO_PRUNING,1.0,17.57839274406433,0.00095234,9021,157,100.0
7,Reasoning,FF_NO_PRUNING,1.0,4.736398935317993,0.00106848,9022,142,100.0
8,Reasoning,FF_NO_PRUNING,1.0,3.952849864959717,0.001251705,9023,84,100.0
8,Reasoning,FF_NO_PRUNING,1.0,5.0130836963653564,0.00094764,9042,77,100.0
8,Reasoning,FF_NO_PRUNING,1.0,3.6603519916534424,0.0041283,9022,76,100.0
9,Out-of-Scope,FF_NO_PRUNING,1.0,4.454871892929077,0.00091544,9020,42,100.0
9,Out-of-Scope,FF_NO_PRUNING,1.0,4.013690948486328,0.00093684,9040,57,100.0
9,Out-of-Scope,FF_NO_PRUNING,1.0,2.419948101043701,0.00102576,9021,57,100.0
10,Out-of-Scope,FF_NO_PRUNING,1.0,2.232604503631592,0.00093468,9037,54,100.0
10,Out-of-Scope,FF_NO_PRUNING,1.0,1.8997180461883545,0.00092636,9037,38,100.0
10,Out-of-Scope,FF_NO_PRUNING,1.0,6.543656826019287,0.00091866,9017,53,100.0
11,Out-of-Scope,FF_NO_PRUNING,1.0,9.99639129638672,0.00091408,9016,39,100.0
11,Out-of-Scope,FF_NO_PRUNING,1.0,4.102557182312012,0.000935,9036,55,100.0
11,Out-of-Scope,FF_NO_PRUNING,1.0,1.7479100227355957,0.00102388,9017,55,100.0
12,Out-of-Scope,FF_NO_PRUNING,1.0,2.3998210430145264,0.001827,9039,40,100.0
12,Out-of-Scope,FF_NO_PRUNING,1.0,8.331423044204712,0.0009278,9039,40,100.0
12,Out-of-Scope,FF_NO_PRUNING,1.0,2.1954617500305176,0.00102804,9020,62,100.0
13,Predictive,FF_NO_PRUNING,1.0,7.645758152008057,0.00101204,9091,182,100.0
13,Predictive,FF_NO_PRUNING,1.0,5.966316223144531,0.00101204,9091,182,100.0
13,Predictive,FF_NO_PRUNING,1.0,9.41504716873169,0.00206834,9072,145,100.0
14,Predictive,FF_NO_PRUNING,1.0,7.532796859741211,0.00099228,9091,144,100.0
14,Predictive,FF_NO_PRUNING,1.0,9.55746603012085,0.00099112,9091,151,100.0
14,Predictive,FF_NO_PRUNING,1.0,11.946624279022217,0.00108046,9072,151,100.0
15,Predictive,FF_NO_PRUNING,1.0,6.912193059921265,0.00100856,9095,183,100.0
15,Predictive,FF_NO_PRUNING,1.0,5.82531476020813,0.00100856,9095,183,100.0
15,Predictive,FF_NO_PRUNING,1.0,9.988892316818236,0.00095614,9075,152,100.0
16,Predictive,FF_NO_PRUNING,1.0,8.204503297805786,0.00100796,9092,183,100.0
16,Predictive,FF_NO_PRUNING,1.0,6.663048028945923,0.0009908,9092,150,100.0
16,Predictive,FF_NO_PRUNING,1.0,3.7435379028320312,0.00107818,9073,146,100.0
17,Extra-Hard,FF_NO_PRUNING,1.0,9.398420095443726,0.00107876,9071,318,100.0
17,Extra-Hard,FF_NO_PRUNING,1.0,10.94841480255127,0.001072,9071,305,100.0
17,Extra-Hard,FF_NO_PRUNING,1.0,6.928262948989868,0.00214844,9052,314,100.0
18,Extra-Hard,FF_NO_PRUNING,1.0,8.820583820343018,0.00105112,9055,271,100.0
18,Extra-Hard,FF_NO_PRUNING,1.0,7.878786087036133,0.00105112,9055,271,100.0
18,Extra-Hard,FF_NO_PRUNING,1.0,3.8281710147857666,0.00113606,9036,271,100.0
19,Extra-Hard,FF_NO_PRUNING,1.0,23.635642766952515,0.00130988,9504,599,100.0
19,Extra-Hard,FF_NO_PRUNING,1.0,34.608335971832275,0.00136356,9464,426,100.0
19,Extra-Hard,FF_NO_PRUNING,1.0,24.43201756477356,0.0013683,9485,544,100.0
20,Extra-Hard,FF_NO_PRUNING,1.0,8.59041714668274,0.0010508,9056,270,100.0
20,Extra-Hard,FF_NO_PRUNING,1.0,10.60809087753296,0.0010492,9056,270,100.0
20,Extra-Hard,FF_NO_PRUNING,1.0,12.191238164901732,0.00195,9056,270,100.0
