run_id,baseline,gt_score,latency_s,cost_usd,input_tokens,output_tokens
1,FF_FULL,0.95,5.450637722015381,0.0015335267,5629.6,221.4
1,FF_NO_CACHE,0.95,3.926645612716675,0.0019617624,6068.85,183.0
1,FF_NO_PROMPT,0.8,4.6542697072029116,0.0018071586,2325.8,176.9
1,FF_NO_PRUNE,1.0,3.7504336833953857,0.002203617,9819.55,170.0
2,FF_FULL,0.9,5.160292875766754,0.0015616661,6151.5,237.0
2,FF_NO_CACHE,0.95,3.9738380551338195,0.0019633224,6068.85,183.4
2,FF_NO_PROMPT,0.7,4.595645070075989,0.0017609046,2268.25,176.55
2,FF_NO_PRUNE,0.85,3.8552568674087526,0.002216877,9819.55,173.4
3,FF_FULL,0.95,5.708422517776489,0.0020729772000000002,6150.95,250.55
3,FF_NO_CACHE,0.95,3.97846999168396,0.0019695624,6068.85,185.0
3,FF_NO_PROMPT,0.9,4.75156180858612,0.00214221735,2324.55,174.8
3,FF_NO_PRUNE,0.9,4.090081429481506,0.002217462,9819.55,173.55
