run_id,baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
1,FLASH_FUSION,not_applicable,17,1.0,llm_judge_score,3.864896774291992,0.002039622,7113,182,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,3.852968215942383,7113,182,0.002039622,3.8529891967773438,0.0,0.0,0.0,0.0,0.0,0.008148908615112305,0.0,3852.9891967773438,0.0,0.0,0.0,0.0,0.0,8.148908615112305,0.0
1,FLASH_FUSION,not_applicable,18,1.0,llm_judge_score,5.008760929107666,0.002508792,9212,256,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,5.003889322280884,9212,256,0.002508792,5.0039122104644775,0.0,0.0,0.0,0.0,0.0,0.004111289978027344,0.0,5003.9122104644775,0.0,0.0,0.0,0.0,0.0,4.111289978027344,0.0
1,FLASH_FUSION,not_applicable,19,1.0,llm_judge_score,4.967131853103638,0.002429232,9200,238,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.963572263717651,9200,238,0.002429232,4.963601112365723,0.0,0.0,0.0,0.0,0.0,0.0028200149536132812,0.0,4963.601112365723,0.0,0.0,0.0,0.0,0.0,2.8200149536132812,0.0
1,FLASH_FUSION,not_applicable,20,1.0,llm_judge_score,4.9091949462890625,0.002256462,7131,234,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.9010889530181885,7131,234,0.002256462,4.901109933853149,0.0,0.0,0.0,0.0,0.0,0.007236003875732422,0.0,4901.109933853149,0.0,0.0,0.0,0.0,0.0,7.236003875732422,0.0
2,FLASH_FUSION,not_applicable,17,1.0,llm_judge_score,3.9171688556671143,0.002039622,7113,182,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,3.909114122390747,7113,182,0.002039622,3.9091389179229736,0.0,0.0,0.0,0.0,0.0,0.0071239471435546875,0.0,3909.1389179229736,0.0,0.0,0.0,0.0,0.0,7.1239471435546875,0.0
2,FLASH_FUSION,not_applicable,18,1.0,llm_judge_score,4.7758448123931885,0.002508792,9212,256,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.772104978561401,9212,256,0.002508792,4.772127151489258,0.0,0.0,0.0,0.0,0.0,0.0030210018157958984,0.0,4772.127151489258,0.0,0.0,0.0,0.0,0.0,3.0210018157958984,0.0
2,FLASH_FUSION,not_applicable,19,1.0,llm_judge_score,4.773988246917725,0.002429232,9200,238,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.769957780838013,9200,238,0.002429232,4.769981861114502,0.0,0.0,0.0,0.0,0.0,0.0032303333282470703,0.0,4769.981861114502,0.0,0.0,0.0,0.0,0.0,3.2303333282470703,0.0
2,FLASH_FUSION,not_applicable,20,1.0,llm_judge_score,5.316813707351685,0.002256462,7131,234,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,5.309126138687134,7131,234,0.002256462,5.309158086776733,0.0,0.0,0.0,0.0,0.0,0.006681203842163086,0.0,5309.158086776733,0.0,0.0,0.0,0.0,0.0,6.681203842163086,0.0
3,FLASH_FUSION,not_applicable,17,1.0,llm_judge_score,4.495526075363159,0.002039622,7113,182,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.469595909118652,7113,182,0.002039622,4.469618082046509,0.0,0.0,0.0,0.0,0.0,0.025002002716064453,0.0,4469.618082046509,0.0,0.0,0.0,0.0,0.0,25.002002716064453,0.0
3,FLASH_FUSION,not_applicable,18,1.0,llm_judge_score,5.133002996444702,0.002508792,9212,256,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,5.127429962158203,9212,256,0.002508792,5.127460241317749,0.0,0.0,0.0,0.0,0.0,0.004189014434814453,0.0,5127.460241317749,0.0,0.0,0.0,0.0,0.0,4.189014434814453,0.0
3,FLASH_FUSION,not_applicable,19,1.0,llm_judge_score,5.80912446975708,0.002444832,9200,242,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,5.805336952209473,9200,242,0.002444832,5.805362224578857,0.0,0.0,0.0,0.0,0.0,0.002978086471557617,0.0,5805.362224578857,0.0,0.0,0.0,0.0,0.0,2.978086471557617,0.0
3,FLASH_FUSION,not_applicable,20,1.0,llm_judge_score,4.20692777633667,0.002256462,7131,234,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.197565078735352,7131,234,0.002256462,4.197591066360474,0.0,0.0,0.0,0.0,0.0,0.008294105529785156,0.0,4197.591066360474,0.0,0.0,0.0,0.0,0.0,8.294105529785156,0.0
