baseline,dataset,query_type,mean,std,n_runs
FF_NO_PRUNING,bus,Direct,100.0,0.0,3
FF_NO_PRUNING,bus,Reasoning,100.0,0.0,3
FF_NO_PRUNING,bus,Predictive,100.0,0.0,3
FF_NO_PRUNING,bus,Out-of-Scope,100.0,0.0,3
FF_NO_PRUNING,bus,Extra-Hard,58.333333333333336,28.867513459481287,3
FF_NO_PRUNING,wisdm,Direct,91.66666666666667,14.433756729740644,3
FF_NO_PRUNING,wisdm,Reasoning,100.0,0.0,3
FF_NO_PRUNING,wisdm,Predictive,100.0,0.0,3
FF_NO_PRUNING,wisdm,Out-of-Scope,100.0,0.0,3
FF_NO_PRUNING,wisdm,Extra-Hard,50.0,0.0,3
FF_NO_PRUNING,ecg,Direct,100.0,0.0,3
FF_NO_PRUNING,ecg,Reasoning,100.0,0.0,3
FF_NO_PRUNING,ecg,Predictive,100.0,0.0,3
FF_NO_PRUNING,ecg,Out-of-Scope,100.0,0.0,3
FF_NO_PRUNING,ecg,Extra-Hard,100.0,0.0,3
