baseline,dataset,query_type,mean,std,n_runs
FLASH_FUSION,bus,Direct,100.0,0.0,3
FLASH_FUSION,bus,Reasoning,83.33333333333333,14.433756729740644,3
FLASH_FUSION,bus,Predictive,100.0,0.0,3
FLASH_FUSION,bus,Out-of-Scope,100.0,0.0,3
FLASH_FUSION,wisdm,Direct,100.0,0.0,3
FLASH_FUSION,wisdm,Reasoning,100.0,0.0,3
FLASH_FUSION,wisdm,Predictive,100.0,0.0,3
FLASH_FUSION,wisdm,Out-of-Scope,100.0,0.0,3
FLASH_FUSION,ecg,Direct,100.0,0.0,3
FLASH_FUSION,ecg,Reasoning,100.0,0.0,3
FLASH_FUSION,ecg,Predictive,100.0,0.0,3
FLASH_FUSION,ecg,Out-of-Scope,100.0,0.0,3
