baseline,query_type,mean,std,n
FLASH_FUSION,Direct,100.0,0.0,9
FF_NO_PRUNING,Direct,98.61111111111111,4.166666666666666,9
FF_NO_PLANNING,Direct,100.0,0.0,9
FLASH_FUSION,Reasoning,95.13888888888889,9.771699499632145,9
FF_NO_PRUNING,Reasoning,100.0,0.0,9
FF_NO_PLANNING,Reasoning,90.27777777777777,15.023130314433287,9
FLASH_FUSION,Predictive,100.0,0.0,9
FF_NO_PRUNING,Predictive,100.0,0.0,9
FF_NO_PLANNING,Predictive,93.05555555555556,11.02396379610246,9
FLASH_FUSION,Out-of-Scope,100.0,0.0,9
FF_NO_PRUNING,Out-of-Scope,100.0,0.0,9
FF_NO_PLANNING,Out-of-Scope,100.0,0.0,9
FLASH_FUSION,Extra-Hard,70.13888888888889,17.05281827473427,9
FF_NO_PRUNING,Extra-Hard,68.05555555555556,27.322660517924998,9
FF_NO_PLANNING,Extra-Hard,54.861111111111114,28.94259164468709,9
