baseline,query_type,mean,std,n
FLASH_FUSION,Direct,182.02540416666665,81.94991220405178,9
FF_NO_PRUNING,Direct,118.09617222222188,21.5335139220656,9
FF_NO_PLANNING,Direct,128.9362777777774,70.64800401986844,9
FLASH_FUSION,Reasoning,256.92203333333333,79.55244724643852,9
FF_NO_PRUNING,Reasoning,130.41609027777778,24.060185516552625,9
FF_NO_PLANNING,Reasoning,145.52506944444443,53.389800882325275,9
FLASH_FUSION,Predictive,194.43585416666664,54.48632873562757,9
FF_NO_PRUNING,Predictive,116.42246180555557,16.106740789004583,9
FF_NO_PLANNING,Predictive,112.59763888888841,13.57978468415933,9
FLASH_FUSION,Out-of-Scope,246.2967,156.88981636309086,9
FF_NO_PRUNING,Out-of-Scope,104.00623611111111,9.211605927918724,9
FF_NO_PLANNING,Out-of-Scope,96.23930902777778,7.070522566672928,9
FLASH_FUSION,Extra-Hard,211.7034833333333,28.06984986606238,9
FF_NO_PRUNING,Extra-Hard,130.94329861111075,23.772464166789113,9
FF_NO_PLANNING,Extra-Hard,121.54649027777742,14.673280582979837,9
