baseline,query_type,mean,std,n
FLASH_FUSION,Direct,2.5655539102024503,0.525617324707243,9
FF_NO_PRUNING,Direct,0.0,0.0,9
FF_NO_PLANNING,Direct,0.0,0.0,9
FLASH_FUSION,Reasoning,4.299535524513987,0.5800382044356498,9
FF_NO_PRUNING,Reasoning,0.0,0.0,9
FF_NO_PLANNING,Reasoning,0.0,0.0,9
FLASH_FUSION,Predictive,6.684449265400569,2.602508836681199,9
FF_NO_PRUNING,Predictive,0.0,0.0,9
FF_NO_PLANNING,Predictive,0.0,0.0,9
FLASH_FUSION,Out-of-Scope,2.2570126255353293,0.12264984788432735,9
FF_NO_PRUNING,Out-of-Scope,0.0,0.0,9
FF_NO_PLANNING,Out-of-Scope,0.0,0.0,9
FLASH_FUSION,Extra-Hard,6.067390352487564,1.0405392900226786,9
FF_NO_PRUNING,Extra-Hard,0.0,0.0,9
FF_NO_PLANNING,Extra-Hard,0.0,0.0,9
