baseline,mean,std,n,uses_estimate,stage
FLASH_FUSION,0.3513483242524995,0.02178627414244717,9,False,Grounding
FLASH_FUSION,0.3513483242524995,0.02178627414244717,9,False,Validation
FLASH_FUSION,2.8089759057429102,0.17388878577242387,9,False,Planning
FLASH_FUSION,0.8631157813800705,0.6727173872481701,9,False,Execution
FF_NO_PRUNING,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,0.0,0.0,9,False,Validation
FF_NO_PRUNING,0.0,0.0,9,False,Planning
FF_NO_PRUNING,0.0,0.0,9,False,Execution
FF_NO_PLANNING,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,0.0,0.0,9,False,Validation
FF_NO_PLANNING,0.0,0.0,9,False,Planning
FF_NO_PLANNING,0.0,0.0,9,False,Execution
