baseline,query_type,mean,std,n,uses_estimate,stage
FLASH_FUSION,Direct,0.2530145428246922,0.050224538005144356,9,False,Grounding
FLASH_FUSION,Direct,0.2530145428246922,0.050224538005144356,9,False,Validation
FLASH_FUSION,Direct,2.020532755719291,0.3986515630228643,9,False,Planning
FLASH_FUSION,Direct,0.03899206883377493,0.02881426299068055,9,False,Execution
FF_NO_PRUNING,Direct,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,Direct,0.0,0.0,9,False,Validation
FF_NO_PRUNING,Direct,0.0,0.0,9,False,Planning
FF_NO_PRUNING,Direct,0.0,0.0,9,False,Execution
FF_NO_PLANNING,Direct,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,Direct,0.0,0.0,9,False,Validation
FF_NO_PLANNING,Direct,0.0,0.0,9,False,Planning
FF_NO_PLANNING,Direct,0.0,0.0,9,False,Execution
FLASH_FUSION,Reasoning,0.401590658724308,0.0534193633595963,9,False,Grounding
FLASH_FUSION,Reasoning,0.401590658724308,0.0534193633595963,9,False,Validation
FLASH_FUSION,Reasoning,3.2114544259177316,0.42739724224988823,9,False,Planning
FLASH_FUSION,Reasoning,0.28489978114763886,0.2751156638257579,9,False,Execution
FF_NO_PRUNING,Reasoning,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,Reasoning,0.0,0.0,9,False,Validation
FF_NO_PRUNING,Reasoning,0.0,0.0,9,False,Planning
FF_NO_PRUNING,Reasoning,0.0,0.0,9,False,Execution
FF_NO_PLANNING,Reasoning,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,Reasoning,0.0,0.0,9,False,Validation
FF_NO_PLANNING,Reasoning,0.0,0.0,9,False,Planning
FF_NO_PLANNING,Reasoning,0.0,0.0,9,False,Execution
FLASH_FUSION,Predictive,0.33748943855365116,0.05611062282314993,9,False,Grounding
FLASH_FUSION,Predictive,0.33748943855365116,0.05611062282314993,9,False,Validation
FLASH_FUSION,Predictive,2.6986197522944875,0.44867443855403083,9,False,Planning
FLASH_FUSION,Predictive,3.310850635998779,3.0445375359823905,9,False,Execution
FF_NO_PRUNING,Predictive,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,Predictive,0.0,0.0,9,False,Validation
FF_NO_PRUNING,Predictive,0.0,0.0,9,False,Planning
FF_NO_PRUNING,Predictive,0.0,0.0,9,False,Execution
FF_NO_PLANNING,Predictive,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,Predictive,0.0,0.0,9,False,Validation
FF_NO_PLANNING,Predictive,0.0,0.0,9,False,Planning
FF_NO_PLANNING,Predictive,0.0,0.0,9,False,Execution
FLASH_FUSION,Out-of-Scope,0.22574591288963955,0.012276392635466966,9,False,Grounding
FLASH_FUSION,Out-of-Scope,0.22574591288963955,0.012276392635466966,9,False,Validation
FLASH_FUSION,Out-of-Scope,1.8054463825292058,0.09807809624054377,9,False,Planning
FLASH_FUSION,Out-of-Scope,7.4417226844341e-05,3.0925796097354034e-05,9,False,Execution
FF_NO_PRUNING,Out-of-Scope,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,Out-of-Scope,0.0,0.0,9,False,Validation
FF_NO_PRUNING,Out-of-Scope,0.0,0.0,9,False,Planning
FF_NO_PRUNING,Out-of-Scope,0.0,0.0,9,False,Execution
FF_NO_PLANNING,Out-of-Scope,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,Out-of-Scope,0.0,0.0,9,False,Validation
FF_NO_PLANNING,Out-of-Scope,0.0,0.0,9,False,Planning
FF_NO_PLANNING,Out-of-Scope,0.0,0.0,9,False,Execution
FLASH_FUSION,Extra-Hard,0.5389010682702065,0.05060688582729621,9,False,Grounding
FLASH_FUSION,Extra-Hard,0.5389010682702065,0.05060688582729621,9,False,Validation
FLASH_FUSION,Extra-Hard,4.308826212253836,0.4046760395251799,9,False,Planning
FLASH_FUSION,Extra-Hard,0.6807620036933157,0.7146225699856925,9,False,Execution
FF_NO_PRUNING,Extra-Hard,0.0,0.0,9,False,Grounding
FF_NO_PRUNING,Extra-Hard,0.0,0.0,9,False,Validation
FF_NO_PRUNING,Extra-Hard,0.0,0.0,9,False,Planning
FF_NO_PRUNING,Extra-Hard,0.0,0.0,9,False,Execution
FF_NO_PLANNING,Extra-Hard,0.0,0.0,9,False,Grounding
FF_NO_PLANNING,Extra-Hard,0.0,0.0,9,False,Validation
FF_NO_PLANNING,Extra-Hard,0.0,0.0,9,False,Planning
FF_NO_PLANNING,Extra-Hard,0.0,0.0,9,False,Execution
