baseline,dataset,query_type,mean,std,n_runs
FLASH_FUSION_CACHE,bus,Direct,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,bus,Direct,100.0,0.0,3
FLASH_FUSION_CACHE,bus,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,bus,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,bus,Reasoning,100.0,0.0,1
FLASH_FUSION_CACHE,bus,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,bus,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE,bus,Out-of-Scope,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,bus,Out-of-Scope,100.0,0.0,3
FLASH_FUSION_CACHE,wisdm,Direct,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,wisdm,Direct,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,wisdm,Direct,100.0,0.0,2
FLASH_FUSION_CACHE,wisdm,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,wisdm,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,wisdm,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE,wisdm,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,wisdm,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE,wisdm,Out-of-Scope,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,wisdm,Out-of-Scope,100.0,0.0,3
FLASH_FUSION_CACHE,ecg,Direct,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,ecg,Direct,100.0,0.0,3
FLASH_FUSION_CACHE,ecg,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,ecg,Reasoning,100.0,0.0,3
FLASH_FUSION_CACHE,ecg,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,ecg,Predictive,100.0,0.0,3
FLASH_FUSION_CACHE,ecg,Out-of-Scope,100.0,0.0,3
FLASH_FUSION_CACHE_HIT,ecg,Out-of-Scope,100.0,0.0,3
