baseline,dataset,mean,std,n_runs
FLASH_FUSION_CACHE,bus,95.0,0.0,3
FLASH_FUSION_CACHE_HIT,bus,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,bus,75.92592592592592,1.6037507477489568,3
AUTOIOT_PAPER,bus,56.94444444444445,1.202813060811725,3
REACT_ONLY,bus,89.16666666666667,1.4433756729740634,3
HARGPT_PAPER,bus,52.361111111111114,2.511547405559044,3
LLMSENSE_PAPER,bus,52.361111111111114,2.511547405559044,3
FLASH_FUSION_CACHE,wisdm,90.0,0.0,3
FLASH_FUSION_CACHE_HIT,wisdm,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,wisdm,63.96135265700483,3.506327982922524,3
AUTOIOT_PAPER,wisdm,55.38194444444445,3.139434256948807,3
REACT_ONLY,wisdm,65.0,0.0,3
HARGPT_PAPER,wisdm,43.888888888888886,1.924500897298753,3
LLMSENSE_PAPER,wisdm,43.888888888888886,1.924500897298753,3
FLASH_FUSION_CACHE,ecg,95.0,0.0,3
FLASH_FUSION_CACHE_HIT,ecg,100.0,0.0,3
FLASH_FUSION_CACHE_MISS,ecg,75.0,0.0,3
AUTOIOT_PAPER,ecg,57.118055555555564,9.379821291138962,3
REACT_ONLY,ecg,76.25,3.307189138830738,3
HARGPT_PAPER,ecg,53.05555555555555,1.7347216662217788,3
LLMSENSE_PAPER,ecg,53.05555555555555,1.7347216662217788,3
