baseline,mean,std,n,uses_estimate,stage
FLASH_FUSION_CACHE,1.2496957920100742,0.3534523148102816,9,False,Grounding
FLASH_FUSION_CACHE,0.3201632878975694,0.07682470147067202,9,False,Validation
FLASH_FUSION_CACHE,1.3694201311929317,0.27660061329369295,9,False,Planning
FLASH_FUSION_CACHE,1.7270782286558182,1.6215577458148254,9,False,Execution
FLASH_FUSION_CACHE_HIT,0.9672745906578343,0.4018901051137468,9,False,Grounding
FLASH_FUSION_CACHE_HIT,0.16689655492467392,0.09935221750074179,9,False,Validation
FLASH_FUSION_CACHE_HIT,0.0,0.0,9,False,Planning
FLASH_FUSION_CACHE_HIT,2.0668492700331047,2.2462193709850906,9,False,Execution
FLASH_FUSION_CACHE_MISS,2.184506518182878,0.3709475618924868,9,False,Grounding
FLASH_FUSION_CACHE_MISS,0.8335149950528495,0.0464623337643067,9,False,Validation
FLASH_FUSION_CACHE_MISS,5.3734473349479925,0.31694083594632144,9,False,Planning
FLASH_FUSION_CACHE_MISS,0.9467152297988292,0.7445805537104109,9,False,Execution
AUTOIOT_PAPER,28.052983626496644,24.571710568387303,9,True,Grounding
AUTOIOT_PAPER,34.590513356570774,6.316084691774494,9,True,Validation
AUTOIOT_PAPER,13.714332976204005,1.244892148078621,9,True,Planning
AUTOIOT_PAPER,123.6968967768977,25.93518317312041,9,True,Execution
REACT_ONLY,0.0,0.0,9,False,Grounding
REACT_ONLY,2.1128839678234526,1.2037276997968642,9,False,Validation
REACT_ONLY,0.0,0.0,9,False,Planning
REACT_ONLY,19.015955710411074,10.83354929817178,9,False,Execution
